zip_code,latitude,longitude,city,state,county,community,estimated median income
91204.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale (Tropico),"$45,245 "
91205.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale (Tropico),"$43,769 "
91206.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale,"$62,915 "
91207.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale,"$88,365 "
91208.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale,"$102,950 "
91210.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale (Glendale Galleria PO Boxes),"$159,500 "
91214.0,33.786594,-118.29866200000001,La Crescenta,CA,Los Angeles,"Glendale, La Crescenta, Montrose","$100,625 "
91301.0,33.786594,-118.29866200000001,Agoura Hills,CA,Los Angeles,"Agoura Hills, Cornell","$121,614 "
91302.0,33.786594,-118.29866200000001,Calabasas,CA,Los Angeles,"Calabasas, Hidden Hills, Monte Nido","$129,145 "
91303.0,33.786594,-118.29866200000001,Canoga Park,CA,Los Angeles,Los Angeles (Canoga Park),"$55,130 "
